=== RUN   TestPackage
=== RUN   TestPackage/IsInstalledAndHealthy
    provider_test.go:69: Testing that the provider's Healthy and Installed status conditions are 'True'.
    provider_test.go:85: Provider "crossplane-provider-gcp" is Healthy and Installed
=== RUN   TestPackage/DeploysConformantCRDs
    provider_test.go:93: Testing that ProviderRevision "crossplane-provider-gcp-7c75a03d7c06" delivers only conformant CRDs.
=== RUN   TestPackage/DeploysConformantCRDs/CloudMemorystoreInstance
=== RUN   TestPackage/DeploysConformantCRDs/Connection
=== RUN   TestPackage/DeploysConformantCRDs/CloudSQLInstance
=== RUN   TestPackage/DeploysConformantCRDs/ProviderConfig
=== RUN   TestPackage/DeploysConformantCRDs/KeyRing
=== RUN   TestPackage/DeploysConformantCRDs/ServiceAccountPolicy
=== RUN   TestPackage/DeploysConformantCRDs/Bucket
=== RUN   TestPackage/DeploysConformantCRDs/CryptoKeyPolicy
=== RUN   TestPackage/DeploysConformantCRDs/BucketPolicy
=== RUN   TestPackage/DeploysConformantCRDs/ProviderConfigUsage
=== RUN   TestPackage/DeploysConformantCRDs/Topic
=== RUN   TestPackage/DeploysConformantCRDs/Subnetwork
=== RUN   TestPackage/DeploysConformantCRDs/NodePool
=== RUN   TestPackage/DeploysConformantCRDs/CryptoKey
=== RUN   TestPackage/DeploysConformantCRDs/GlobalAddress
=== RUN   TestPackage/DeploysConformantCRDs/Network
=== RUN   TestPackage/DeploysConformantCRDs/GKECluster
=== RUN   TestPackage/DeploysConformantCRDs/BucketPolicyMember
=== RUN   TestPackage/DeploysConformantCRDs/ServiceAccount
=== RUN   TestPackage/ManagedResourcesAppearConformant
    provider_test.go:144: Testing that managed resources defined by ProviderRevision "crossplane-provider-gcp-7c75a03d7c06" appear conformant.
=== RUN   TestPackage/ManagedResourcesAppearConformant/CloudMemorystoreInstance
=== RUN   TestPackage/ManagedResourcesAppearConformant/Connection
=== RUN   TestPackage/ManagedResourcesAppearConformant/CloudSQLInstance
=== RUN   TestPackage/ManagedResourcesAppearConformant/KeyRing
=== RUN   TestPackage/ManagedResourcesAppearConformant/ServiceAccountPolicy
=== RUN   TestPackage/ManagedResourcesAppearConformant/Bucket
=== RUN   TestPackage/ManagedResourcesAppearConformant/CryptoKeyPolicy
=== RUN   TestPackage/ManagedResourcesAppearConformant/BucketPolicy
=== RUN   TestPackage/ManagedResourcesAppearConformant/Topic
=== RUN   TestPackage/ManagedResourcesAppearConformant/Subnetwork
=== RUN   TestPackage/ManagedResourcesAppearConformant/NodePool
=== RUN   TestPackage/ManagedResourcesAppearConformant/CryptoKey
=== RUN   TestPackage/ManagedResourcesAppearConformant/GlobalAddress
=== RUN   TestPackage/ManagedResourcesAppearConformant/Network
=== RUN   TestPackage/ManagedResourcesAppearConformant/GKECluster
=== RUN   TestPackage/ManagedResourcesAppearConformant/BucketPolicyMember
=== RUN   TestPackage/ManagedResourcesAppearConformant/ServiceAccount
--- PASS: TestPackage (0.23s)
    --- PASS: TestPackage/IsInstalledAndHealthy (0.00s)
    --- PASS: TestPackage/DeploysConformantCRDs (0.07s)
        --- PASS: TestPackage/DeploysConformantCRDs/CloudMemorystoreInstance (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/Connection (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/CloudSQLInstance (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/ProviderConfig (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/KeyRing (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/ServiceAccountPolicy (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/Bucket (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/CryptoKeyPolicy (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/BucketPolicy (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/ProviderConfigUsage (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/Topic (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/Subnetwork (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/NodePool (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/CryptoKey (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/GlobalAddress (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/Network (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/GKECluster (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/BucketPolicyMember (0.00s)
        --- PASS: TestPackage/DeploysConformantCRDs/ServiceAccount (0.00s)
    --- PASS: TestPackage/ManagedResourcesAppearConformant (0.14s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/CloudMemorystoreInstance (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/Connection (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/CloudSQLInstance (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/KeyRing (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/ServiceAccountPolicy (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/Bucket (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/CryptoKeyPolicy (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/BucketPolicy (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/Topic (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/Subnetwork (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/NodePool (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/CryptoKey (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/GlobalAddress (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/Network (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/GKECluster (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/BucketPolicyMember (0.00s)
        --- PASS: TestPackage/ManagedResourcesAppearConformant/ServiceAccount (0.00s)
=== RUN   TestVersion
    version_test.go:25: Conformance test version: v1.2.1-cf.1
--- PASS: TestVersion (0.00s)
PASS
